mbti,function_pair,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,Gminor_count,A#/BbMajor_count,F#/GbMajor_count,Bminor_count
INFP,NF,0.5578409090909092,0.1550105687592343,0.553325,0.2251779886440223,-8.35259090909091,3.2733173083044766,0.6590909090909091,0.4794949774542017,0.067340909090909,0.0610825797043672,0.2934690909090909,0.286088047024543,0.1634022727272727,0.0862658963811048,0.4488840909090909,0.2217635037635361,120.95479545454542,32.16577792925888,0.0199709929545454,0.0818045868243899,1.0,5.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
INFP,NF,0.5876363636363636,0.1356442539747395,0.5562727272727273,0.1916419631642677,-8.215696969696971,3.3568674709918214,0.6363636363636364,0.4885042104591972,0.0742727272727272,0.083388227109434,0.3414339393939394,0.2670767565576817,0.1545424242424242,0.1124956722231544,0.4476030303030303,0.2160686819116326,131.87124242424244,33.21600808630372,0.0610408642424242,0.1775587266648985,1.0,5.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0
INFP,NF,0.6769999999999999,0.1280094065421182,0.8512800000000003,0.1283364583063294,-5.0461,2.180554266273432,0.58,0.4985693819032897,0.272546,0.1760128627141105,0.05808475,0.0748175942013921,0.26452,0.2080966288500982,0.26503,0.1705175366527515,128.20602,26.927194372134164,0.2503575614,0.3318046649596024,0.0,0.0,3.0,13.0,4.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,9.0
INFP,NF,0.517,0.1694773889516051,0.5134119047619048,0.2583449161653438,-10.172833333333331,4.935139797939187,0.7857142857142857,0.4152997322366328,0.0515095238095238,0.0339109005391698,0.4421630364285716,0.3670245719208119,0.152645238095238,0.095955861810499,0.3378452380952381,0.2118900050617392,120.59357142857144,34.335224458871906,0.2109271526190476,0.2943462125272822,2.0,6.0,0.0,2.0,3.0,0.0,1.0,5.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
INFP,NF,0.5604,0.1414500705159937,0.445862,0.2425916699362304,-10.572239999999995,5.685179014861398,0.82,0.3880879344916035,0.065178,0.0586843173084528,0.4796774,0.3614064802215965,0.169092,0.1266345099819451,0.351366,0.1951161220025298,114.69308,30.03414246326459,0.069537275,0.2062770291685677,2.0,12.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0
INFP,NF,0.6139354838709677,0.0981794056761637,0.7283870967741938,0.1280337657076848,-6.98658064516129,1.6396721171053998,0.5483870967741935,0.5058794110206736,0.2897709677419355,0.1226524281416077,0.1883548387096774,0.1864059384581755,0.2204096774193548,0.1858567483392136,0.5082903225806451,0.1634672635011644,96.372935483871,22.354511010734104,0.0288639158064516,0.1605624892862392,1.0,1.0,0.0,6.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0
INFP,NF,0.5207999999999999,0.1641574654695538,0.6187520000000001,0.2189639745226951,-7.242380000000001,4.592926570859381,0.64,0.4848732213850611,0.065084,0.0539468043350037,0.263626766,0.3009764052537752,0.15108,0.1002989592393151,0.402024,0.2027460496205405,131.27542,31.14320905835899,0.0453293966,0.1640133370749384,1.0,5.0,1.0,3.0,5.0,0.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0
INFP,NF,0.6653999999999998,0.1041560838161572,0.41108,0.1520283056351208,-10.79756,2.9257488708893327,0.26,0.443087497693452,0.088266,0.084354027062332,0.237461314,0.2531122872734937,0.189096,0.162794743634744,0.4345400000000001,0.1949954693351219,99.42746,28.48007585349478,0.662444266,0.2739336074174056,5.0,3.0,2.0,1.0,4.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,4.0
INFP,NF,0.5563999999999999,0.1281930941500169,0.49264,0.167891335119366,-9.1336,2.1472813376120845,0.98,0.1414213562373094,0.049366,0.0385510983988148,0.57667846,0.3217234339618621,0.143194,0.1366273666225185,0.3607479999999999,0.1749045678450429,118.52132000000002,29.14347989841617,0.0038886866,0.0252870738845523,1.0,13.0,0.0,1.0,5.0,1.0,0.0,6.0,0.0,5.0,0.0,7.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0
INFP,NF,0.4950179999999999,0.175262182248569,0.5745196,0.2270308412561372,-9.631500000000004,4.809709517513209,0.76,0.4314191105869001,0.044406,0.0202692831845708,0.3167257599999999,0.334734067012177,0.169324,0.1062326164602943,0.39092,0.2286115366596304,118.31884,26.424222326602425,0.3207216536,0.390177155875224,0.0,6.0,0.0,7.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,3.0,1.0,4.0,1.0,0.0,2.0,0.0,2.0,2.0
INFP,NF,0.62752,0.0899866747505043,0.89672,0.0915126934431748,-3.39622,1.789910353358856,0.5,0.5050762722761054,0.187964,0.1370975948523011,0.014073806,0.0588668866190922,0.218584,0.1703808199898338,0.33932,0.209851836945469,134.09514,33.44215299131151,0.1243236625999999,0.226818795277732,0.0,2.0,2.0,10.0,5.0,0.0,4.0,1.0,5.0,0.0,7.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
INFP,NF,0.53956,0.1315890572958101,0.604652,0.2235176067027437,-7.666719999999999,3.789696638766427,0.64,0.484873221385061,0.053668,0.0493477888179854,0.29447955,0.3084310015262714,0.138808,0.0827612347389174,0.430516,0.2225486393614498,122.317,33.55615273428303,0.0668512178,0.1762762636512911,1.0,5.0,0.0,5.0,3.0,1.0,4.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0
INFP,NF,0.63826,0.1296332046780532,0.7315599999999999,0.1611684579461338,-7.102160000000001,2.4275234071466536,0.48,0.5046720495044485,0.3071,0.1039980867170946,0.1229784,0.1561873503247602,0.247842,0.1911133856096523,0.58396,0.1799499885172181,108.17911999999998,36.1852193326028,3.07844e-05,8.869947771882225e-05,0.0,0.0,2.0,5.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,6.0,8.0
